Line  1740
  13:38:36.90  3.573993 10 1.929 15.080 6.937 1.576 1.719 4.160 5.087 1.111 0.555 0.938 0.099 0.016 0.231 1.332 2.094 1.945 1.401 1.077 0.975 0.974 0.992 1.000 1.001 1.000 1.000 -2.705 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 1.000 0.8630994 0.1501330 0.2696804 0.6928973 0.6176950 0.2419287 0.2006182 0.5589390 0.6754543 0.3233168 0.3893224 0.0604859 0.0134349 0.0000534 0.0000024 0.0000005 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.5262271 
  13:38:37.50  1.514337 10 3.095 7.349 2.221 3.557 2.697 1.963 2.510 1.787 0.847 0.438 0.223 0.025 0.271 1.534 2.405 2.186 1.481 1.085 0.968 0.969 0.990 1.000 1.001 1.000 1.000 -4.233 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 1.000 0.7502579 0.3422220 0.6805671 0.4351131 0.4651522 0.4996737 0.3705847 0.4033867 0.5500185 0.6072679 0.2976337 0.2772712 0.0318393 0.0002061 0.0000155 0.0000057 0.0000025 0.0000005 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.2430179 
  13:38:38.10  1.573598 10 3.019 6.604 2.355 3.603 2.358 1.838 3.043 1.677 0.693 0.561 0.165 0.026 0.254 1.372 2.223 2.063 1.444 1.082 0.972 0.972 0.991 1.000 1.001 1.000 1.000 -3.755 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 1.000 0.7447396 0.3642383 0.6544841 0.4278097 0.4970415 0.5074002 0.3247894 0.4144688 0.5985148 0.5079083 0.3280912 0.2249769 0.0284502 0.0002023 0.0000157 0.0000052 0.0000021 0.0000004 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.2544095 
  13:38:38.70  1.810082 10 2.918 7.343 2.265 3.343 2.651 1.934 2.353 1.480 0.739 0.682 0.153 0.030 0.258 1.425 2.366 2.117 1.450 1.080 0.970 0.971 0.991 1.000 1.001 1.000 1.000 -4.068 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 1.000 0.7552176 0.3363562 0.6695068 0.4481422 0.4621369 0.4951701 0.3891145 0.4384741 0.5824994 0.4537903 0.3073181 0.2779497 0.0355250 0.0002819 0.0000190 0.0000072 0.0000035 0.0000009 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.2697282 
  13:38:39.30  1.790470 10 2.985 7.154 2.269 3.132 3.031 1.619 1.911 1.624 0.812 0.405 0.144 0.014 0.128 0.959 1.844 1.872 1.406 1.090 0.983 0.976 0.992 1.000 1.001 1.000 1.000 -3.453 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 1.000 0.7503231 0.3529190 0.6672974 0.4767764 0.4114557 0.5591531 0.4374967 0.4100764 0.5186562 0.5942494 0.3794547 0.0909250 0.0150763 0.0000843 0.0000013 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.2575332 
  13:38:39.90  1.839352 10 3.185 5.823 2.469 3.721 2.420 1.505 2.558 1.605 0.754 0.475 0.155 0.018 0.157 1.003 1.853 1.885 1.412 1.091 0.982 0.976 0.992 1.000 1.001 1.000 1.000 -3.302 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 1.000 0.7304529 0.4107530 0.6423930 0.4330108 0.4775567 0.5800626 0.3601715 0.4204410 0.5564559 0.5595799 0.3531760 0.1280267 0.0172720 0.0001787 0.0000060 0.0000009 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.2399700 
  13:38:40.50  2.318476 10 3.179 5.398 2.524 3.775 2.354 1.585 2.142 1.393 0.871 0.507 0.141 0.022 0.161 1.004 1.900 1.899 1.409 1.088 0.981 0.976 0.992 1.000 1.001 1.000 1.000 -3.368 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 1.000 0.7246312 0.4291558 0.6337103 0.4277052 0.4834057 0.5566067 0.4058577 0.4539291 0.5072457 0.5336416 0.3484953 0.1474206 0.0186996 0.0002428 0.0000112 0.0000021 0.0000005 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.2414295 
  13:38:41.10  2.070105 10 3.128 5.497 2.679 3.918 1.987 1.381 2.604 1.370 0.724 0.499 0.122 0.019 0.121 0.860 1.757 1.795 1.376 1.087 0.986 0.978 0.992 1.000 1.001 1.000 1.000 -3.572 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 1.000 0.7287225 0.4153688 0.6217013 0.4134122 0.5246886 0.5882530 0.3496407 0.4524981 0.5387926 0.5145718 0.3655202 0.0985197 0.0142110 0.0001892 0.0000045 0.0000005 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.2512221 
  13:38:41.70  1.797110 10 3.176 5.730 2.662 4.359 2.136 1.433 2.641 1.519 0.816 0.739 0.220 0.043 0.311 1.453 2.290 2.062 1.428 1.074 0.970 0.972 0.991 1.000 1.001 1.000 1.000 -4.074 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 1.000 0.7323030 0.4039192 0.6289968 0.3909291 0.5225807 0.5809851 0.3492731 0.4283021 0.5819812 0.4619210 0.2847210 0.5438127 0.0662074 0.0011531 0.0000635 0.0000194 0.0000098 0.0000036 0.0000006 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.2473771 
  13:38:42.30  2.177591 10 3.088 5.491 2.873 5.007 2.036 1.382 2.969 1.508 0.807 1.094 0.246 0.055 0.342 1.606 2.527 2.134 1.428 1.067 0.966 0.971 0.991 1.000 1.001 1.000 1.000 -4.390 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 1.000 0.7340398 0.4018704 0.6059553 0.3576120 0.5427531 0.5850891 0.3245329 0.4353524 0.6277167 0.3510301 0.2842090 0.6538925 0.0857591 0.0027251 0.0001609 0.0000424 0.0000171 0.0000069 0.0000019 0.0000003 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.2577616 
