Line  186
      08:36:59.80  8.317705 10 25.123 81.771 159.963 174.962 151.685 100.007 42.636 14.340 11.150 21.703 39.524 53.451 62.037 67.382 70.390 69.788 63.254 49.851 23.279 8.620 -0.316 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 236.887 36.358 0.5776264 0.1659570 0.0267076 0.0152890 0.0180542 0.0369529 0.1223701 0.3398636 0.3507574 0.1518111 0.0629755 0.0360226 0.0247236 0.0169296 0.0107841 0.0063802 0.0035937 0.0021289 0.0012331 0.0117335 0.0049747 
      08:37:00.39  11.090720 1 37.980 42.230 43.571 45.131 46.675 47.413 46.383 43.196 38.528 33.763 30.161 28.349 28.264 29.242 30.232 30.309 29.249 27.574 25.209 23.233 0.041 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 236.887 27.251 0.2703076 0.2307205 0.1342228 0.1226471 0.1254468 0.1177005 0.1004957 0.0854629 0.0835572 0.0969827 0.1113499 0.1057505 0.0787788 0.0477047 0.0257375 0.0146269 0.0104974 0.0089936 0.0080635 0.0116180 0.0085765 
      08:37:01.00  9.479077 0 53.007 53.605 54.132 54.164 53.773 53.108 52.356 51.700 51.271 51.123 51.230 51.517 51.895 52.302 52.704 53.084 53.411 53.646 53.850 53.952 -0.003 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 236.887 53.292 0.2387759 0.2522174 0.1576138 0.1300502 0.1293597 0.1316471 0.1261944 0.1119781 0.0925072 0.0725484 0.0566302 0.0470265 0.0420503 0.0374662 0.0304250 0.0215836 0.0134005 0.0074766 0.0030517 0.0031414 0.0079788 
      08:37:01.60  1.270531 10 18.838 41.270 64.416 61.112 45.759 31.242 25.974 32.135 49.867 74.896 98.534 113.878 118.215 111.673 96.107 75.172 53.582 35.385 16.572 7.148 -0.244 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 236.887 28.134 0.5228266 0.2165381 0.0718360 0.0723533 0.1215941 0.2150056 0.2675520 0.1861595 0.0913156 0.0455252 0.0282713 0.0217856 0.0193154 0.0184105 0.0177760 0.0159425 0.0111537 0.0045360 0.0068782 0.0398717 0.0082647 
      08:37:02.20  5.446004 10 19.513 105.197 256.768 302.573 299.967 251.202 169.376 77.084 23.719 13.412 26.792 58.981 89.117 106.265 111.317 107.387 96.833 81.699 38.074 10.158 -0.870 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 236.887 43.439 0.7116321 0.1278198 0.0109941 0.0057389 0.0061926 0.0091901 0.0203378 0.0750560 0.2641433 0.3884292 0.1530819 0.0437932 0.0182274 0.0112864 0.0080681 0.0057548 0.0037414 0.0023157 0.0012797 0.0117987 0.0048513 
      08:37:02.80  0.831708 2 23.093 25.295 33.631 46.086 61.372 76.733 88.741 95.076 95.691 92.176 86.236 78.870 70.533 61.612 52.661 44.344 37.277 31.886 25.457 19.944 -0.036 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 236.887 31.068 0.4009717 0.3291915 0.1932848 0.1465580 0.1148173 0.0925716 0.0790344 0.0714875 0.0667919 0.0626598 0.0589867 0.0579635 0.0611115 0.0646760 0.0595389 0.0410299 0.0188059 0.0076141 0.0133993 0.0366571 0.0166725 
      08:37:03.39  15.329584 0 54.865 54.840 55.451 56.037 56.571 57.029 57.397 57.673 57.865 57.986 58.049 58.059 58.017 57.921 57.773 57.582 57.368 57.153 56.807 56.377 -0.006 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 236.887 56.835 0.2600482 0.2512482 0.1323530 0.1041831 0.1151541 0.1270832 0.1196868 0.0951741 0.0678202 0.0483846 0.0380327 0.0322688 0.0271980 0.0218995 0.0169388 0.0126731 0.0090322 0.0059352 0.0030944 0.0032061 0.0088671 
      08:37:04.10  1.461698 10 20.421 25.355 35.917 47.353 58.274 67.333 73.813 78.155 81.562 85.054 88.799 92.028 93.330 91.109 84.335 73.515 60.840 49.810 34.297 18.698 -0.045 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 236.887 28.245 0.4417143 0.3185007 0.1791080 0.1412501 0.1218492 0.1092485 0.0999587 0.0905720 0.0789569 0.0658487 0.0539976 0.0455169 0.0404543 0.0373332 0.0340459 0.0282454 0.0184450 0.0075713 0.0061262 0.0486424 0.0180119 
      08:37:04.70  6.268660 10 22.005 113.749 269.583 325.471 335.115 307.053 247.032 159.875 69.159 21.736 13.634 25.912 51.121 70.551 78.098 76.834 69.912 60.081 37.802 16.895 -0.627 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 236.887 28.375 0.6953790 0.1279145 0.0113413 0.0060855 0.0065585 0.0088685 0.0146303 0.0336369 0.1097377 0.2904206 0.3618231 0.1849359 0.0679000 0.0304032 0.0177228 0.0109833 0.0063463 0.0035033 0.0031839 0.0119021 0.0034225 
      08:37:05.30  0.975301 3 35.382 43.094 56.191 71.805 86.745 97.682 102.731 102.065 97.091 89.283 79.887 70.226 61.601 54.745 49.600 45.649 42.400 39.668 34.977 29.008 0.013 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 236.887 34.175 0.3815246 0.3043745 0.1590084 0.1142816 0.0945518 0.0858698 0.0845391 0.0878871 0.0926652 0.0950064 0.0919667 0.0847634 0.0798779 0.0807485 0.0777336 0.0590989 0.0311252 0.0110575 0.0092066 0.0374861 0.0107982 
