Line  1740
  13:38:36.20  8.607815 3 1.970 28.536 25.396 3.634 1.851 5.918 12.976 11.301 4.366 2.308 4.050 6.967 6.181 2.936 1.720 1.519 1.232 1.169 1.527 2.048 2.376 2.462 2.438 2.402 2.387 -0.083 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 2.387 0.8989110 0.0932956 0.1185158 0.6228363 0.6394162 0.2589641 0.1011534 0.1610778 0.3998389 0.4368400 0.2500073 0.1481161 0.1419379 0.1668975 0.1547727 0.1247718 0.1334236 0.0814484 0.0197128 0.0022307 0.0002377 0.0000922 0.0000267 0.0000026 0.0000001 0.5683213 
  13:38:36.90  3.571055 4 2.320 15.961 12.761 3.399 2.316 4.235 7.507 9.312 7.025 3.352 2.503 3.613 5.100 4.347 2.260 1.085 0.744 0.998 1.688 2.290 2.492 2.468 2.404 2.368 2.359 -0.575 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 2.362 0.8439523 0.1524482 0.1951481 0.5662559 0.5510705 0.3665855 0.1886743 0.1525894 0.2337755 0.3828071 0.4072896 0.2847281 0.1580358 0.1099648 0.0763223 0.0629369 0.1982871 0.1038744 0.0142080 0.0009903 0.0001530 0.0000714 0.0000173 0.0000013 0.0000001 0.4812815 
  13:38:37.50  1.526149 10 3.937 9.823 3.342 4.043 5.831 4.069 3.622 5.394 6.836 5.505 3.564 2.622 2.915 3.952 3.951 1.930 0.539 0.639 1.731 2.657 2.677 2.483 2.359 2.321 2.321 -2.470 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 2.328 0.7325934 0.3144650 0.6278823 0.4782756 0.3371281 0.3997710 0.4157444 0.2765298 0.2150312 0.2453342 0.3399932 0.3984438 0.3004854 0.1563717 0.0770919 0.0178238 0.1449315 0.1314853 0.0139593 0.0004040 0.0000875 0.0000450 0.0000100 0.0000006 0.0000001 0.1715486 
  13:38:38.10  1.575316 10 3.937 8.588 3.455 4.336 5.561 3.548 3.525 6.085 7.623 5.154 2.987 2.782 3.811 4.285 3.135 1.581 0.728 0.832 1.691 2.455 2.565 2.443 2.345 2.310 2.307 -2.023 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 2.312 0.7217787 0.3463540 0.6068030 0.4567773 0.3483318 0.4391216 0.4143292 0.2458703 0.1934013 0.2607094 0.3835790 0.3734473 0.2303909 0.1356769 0.0878625 0.0286237 0.1448286 0.1368533 0.0199143 0.0010058 0.0001283 0.0000664 0.0000174 0.0000013 0.0000001 0.1734718 
  13:38:38.70  1.810077 10 3.658 9.757 3.384 3.890 5.755 3.964 3.444 5.201 6.004 4.159 2.897 3.339 4.597 4.062 2.180 1.034 0.776 1.165 1.947 2.437 2.470 2.357 2.277 2.252 2.252 -2.323 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 2.256 0.7383148 0.3118713 0.6137524 0.4938985 0.3306819 0.4030291 0.4156121 0.2775652 0.2425662 0.3007121 0.3849045 0.3052529 0.1670208 0.1074411 0.0688215 0.0634437 0.2170048 0.1037148 0.0133252 0.0009634 0.0001459 0.0000721 0.0000181 0.0000013 0.0000001 0.1966040 
  13:38:39.30  1.788740 10 3.897 8.624 3.658 3.826 5.797 4.379 3.192 4.162 5.908 5.831 4.362 3.222 3.134 3.788 4.036 3.001 1.251 0.584 0.949 1.824 2.309 2.356 2.290 2.241 2.226 -1.627 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 2.229 0.7245381 0.3519662 0.5930149 0.5024269 0.3325505 0.3804357 0.4445739 0.3427316 0.2473738 0.2250275 0.2908848 0.3530218 0.3002273 0.1968116 0.1214103 0.0591789 0.0258100 0.1333753 0.0394038 0.0018722 0.0001275 0.0000592 0.0000132 0.0000008 0.0000001 0.1796521 
  13:38:39.90  1.834302 10 4.321 7.007 3.561 5.009 5.405 3.120 3.231 5.234 6.195 4.879 3.572 3.047 3.350 3.924 3.522 1.996 0.753 0.595 1.255 2.106 2.370 2.328 2.251 2.211 2.203 -1.682 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 2.207 0.6979473 0.4121567 0.5932951 0.4247135 0.3606042 0.4786628 0.4264072 0.2823839 0.2322456 0.2661382 0.3372705 0.3552748 0.2666763 0.1650836 0.1032929 0.0349814 0.0850124 0.1406241 0.0214170 0.0006988 0.0001180 0.0000516 0.0000095 0.0000005 0.0000001 0.1591357 
  13:38:40.50  2.312099 10 4.358 6.500 3.529 5.372 5.259 3.024 3.452 4.894 4.778 4.164 4.110 4.036 3.755 3.354 2.766 1.757 0.932 0.864 1.450 2.106 2.313 2.275 2.211 2.180 2.174 -1.785 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 2.178 0.6904492 0.4318107 0.5905499 0.4077219 0.3646192 0.4882489 0.3999177 0.2971717 0.2915599 0.2995276 0.2973259 0.2771292 0.2307431 0.1731691 0.1191703 0.0554133 0.1050559 0.1296029 0.0262477 0.0016544 0.0001593 0.0000748 0.0000185 0.0000013 0.0000001 0.1590339 
  13:38:41.10  2.060917 10 4.392 6.577 3.680 6.059 5.426 2.482 3.243 5.750 5.748 4.129 3.600 4.020 4.412 3.918 3.030 2.295 1.522 1.064 1.281 1.845 2.194 2.246 2.204 2.171 2.161 -1.926 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 2.163 0.6896587 0.4284871 0.5837193 0.3774360 0.3605902 0.5459779 0.4077713 0.2608694 0.2473012 0.3060435 0.3337587 0.2790987 0.2089225 0.1742417 0.1467850 0.0791392 0.0521151 0.1093380 0.0452326 0.0049547 0.0002982 0.0000978 0.0000307 0.0000027 0.0000001 0.1605410 
  13:38:41.70  1.807461 10 4.019 7.154 3.376 5.913 5.227 2.231 3.214 5.462 4.450 2.871 2.741 3.436 3.829 2.464 0.924 0.488 0.964 2.124 2.761 2.652 2.364 2.185 2.131 2.135 2.146 -2.669 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 2.149 0.7084782 0.3897083 0.6078890 0.3768213 0.3576380 0.5689789 0.3845072 0.2578796 0.2842561 0.3709469 0.3707575 0.2538958 0.1373415 0.0614941 0.0420973 0.3364670 0.1616059 0.0198787 0.0017575 0.0002217 0.0000750 0.0000339 0.0000066 0.0000005 0.0000000 0.1816314 
