Line  1740
  13:38:36.20  8.609225 3 2.036 21.234 23.345 4.171 1.929 5.089 13.038 13.898 6.387 2.503 3.928 8.490 9.360 5.363 2.646 2.379 2.734 2.484 2.132 2.217 2.593 2.923 3.062 3.072 3.046 0.040 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 3.027 0.8829562 0.1122197 0.1271571 0.5539092 0.6237651 0.3204183 0.1160432 0.1200674 0.2879498 0.4862338 0.2812784 0.1400757 0.1206176 0.1685250 0.2020308 0.1496072 0.0790548 0.0585038 0.0438808 0.0158447 0.0026000 0.0002677 0.0000753 0.0000249 0.0000029 0.5638576 
  13:38:36.90  3.561669 3 2.429 13.895 12.145 3.756 2.437 4.101 8.048 10.376 8.035 4.131 2.988 4.384 6.337 6.384 4.678 2.976 2.076 1.794 1.974 2.451 2.896 3.091 3.100 3.057 3.027 -0.451 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 3.023 0.8236174 0.1812904 0.2202898 0.5390514 0.5376382 0.3881761 0.1904359 0.1463075 0.2251698 0.3615692 0.3844585 0.2674337 0.1671696 0.1311859 0.1223353 0.0962373 0.0588955 0.0778300 0.0623885 0.0190582 0.0027543 0.0002485 0.0000818 0.0000310 0.0000037 0.4463711 
  13:38:37.50  1.532359 10 4.058 9.870 3.441 4.235 6.094 4.117 3.905 5.963 7.681 6.474 4.320 3.406 3.784 4.957 6.074 5.623 3.120 1.217 1.066 2.146 3.270 3.399 3.172 3.010 2.958 -2.332 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 2.972 0.7294584 0.3163238 0.6258488 0.4693439 0.3349223 0.4054360 0.4066229 0.2639632 0.2052326 0.2318548 0.3187869 0.3673670 0.2952319 0.1817507 0.0991140 0.0556082 0.0188887 0.0595328 0.1085399 0.0235781 0.0014371 0.0001030 0.0000554 0.0000198 0.0000019 0.1643802 
  13:38:38.10  1.577894 10 4.049 8.700 3.534 4.534 5.894 3.588 3.762 6.693 8.569 6.129 3.576 3.392 4.778 5.923 5.511 4.027 2.487 1.582 1.606 2.383 3.117 3.255 3.115 2.997 2.956 -1.894 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 2.965 0.7194485 0.3461228 0.6074832 0.4491456 0.3418693 0.4448934 0.4080369 0.2348076 0.1831285 0.2444914 0.3654079 0.3595855 0.2305605 0.1431955 0.1066534 0.0768642 0.0327189 0.0663532 0.0865623 0.0247290 0.0027294 0.0002050 0.0000713 0.0000297 0.0000036 0.1667209 
  13:38:38.70  1.812883 10 3.741 9.759 3.514 4.006 5.962 4.086 3.687 5.702 6.776 4.748 3.360 4.058 5.851 6.363 4.500 2.480 1.677 1.697 2.179 2.813 3.164 3.140 2.994 2.901 2.877 -2.182 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 2.889 0.7359642 0.3144547 0.6088089 0.4858124 0.3302072 0.4013478 0.4102397 0.2663215 0.2313890 0.2927206 0.3728338 0.2949011 0.1663466 0.1076308 0.0974000 0.0803807 0.0670170 0.1083441 0.0658321 0.0157931 0.0020438 0.0001946 0.0000792 0.0000291 0.0000029 0.1911747 
  13:38:39.30  1.788405 10 3.980 8.791 3.730 3.939 6.082 4.492 3.352 4.520 6.396 6.403 5.020 4.064 4.034 4.765 5.742 5.865 4.389 2.300 1.305 1.522 2.331 2.891 3.001 2.950 2.899 -1.517 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 2.884 0.7236929 0.3494559 0.5940077 0.4983429 0.3277053 0.3782601 0.4430373 0.3290322 0.2431969 0.2238822 0.2782215 0.3281487 0.2877363 0.2019734 0.1289436 0.0802104 0.0392832 0.0183888 0.0689592 0.0377737 0.0044614 0.0002095 0.0000634 0.0000240 0.0000025 0.1743740 
  13:38:39.90  1.833069 10 4.458 7.255 3.561 5.337 5.902 3.145 3.420 5.874 6.960 5.533 4.176 3.953 4.485 5.290 5.777 5.133 3.378 1.783 1.299 1.790 2.607 2.992 3.000 2.925 2.879 -1.571 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 2.874 0.6968521 0.4048544 0.6044402 0.4108196 0.3484108 0.4864451 0.4226214 0.2642840 0.2221960 0.2616002 0.3261476 0.3265459 0.2548284 0.1742216 0.1150447 0.0761693 0.0339024 0.0355052 0.0876661 0.0319037 0.0031174 0.0001771 0.0000679 0.0000241 0.0000023 0.1521404 
  13:38:40.50  2.310284 10 4.485 6.701 3.526 5.723 5.684 3.033 3.674 5.545 5.298 4.401 4.608 5.271 5.363 4.933 4.337 3.615 2.767 2.047 1.865 2.258 2.756 2.950 2.923 2.862 2.833 -1.683 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 2.834 0.6895904 0.4251501 0.6009542 0.3943302 0.3540273 0.4971813 0.3936146 0.2761985 0.2841310 0.3112321 0.2930993 0.2467821 0.2051522 0.1731798 0.1448725 0.1088563 0.0556230 0.0519371 0.0657140 0.0255459 0.0037634 0.0002955 0.0000759 0.0000302 0.0000035 0.1529250 
  13:38:41.10  2.057886 10 4.468 6.839 3.630 6.362 5.963 2.477 3.365 6.326 6.250 4.366 3.917 4.819 5.601 5.233 4.272 3.590 3.168 2.555 2.066 2.136 2.532 2.806 2.858 2.830 2.804 -1.849 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 2.799 0.6909845 0.4182718 0.5981574 0.3672491 0.3430099 0.5555930 0.4050313 0.2456590 0.2395520 0.3132892 0.3320456 0.2598439 0.1929538 0.1687661 0.1603931 0.1221967 0.0558552 0.0367062 0.0520223 0.0265587 0.0047000 0.0003723 0.0000768 0.0000304 0.0000037 0.1568481 
  13:38:41.70  1.814468 10 4.120 7.435 3.394 6.317 5.884 2.274 3.400 6.276 5.267 3.202 3.148 4.461 5.440 4.623 2.475 1.108 0.950 1.736 3.022 3.647 3.464 3.061 2.808 2.733 2.741 -2.521 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 2.764 0.7076636 0.3827521 0.6171545 0.3637989 0.3379848 0.5760703 0.3809368 0.2368500 0.2646165 0.3722074 0.3630332 0.2321582 0.1313743 0.0832600 0.0494662 0.0780470 0.2326715 0.1154406 0.0198728 0.0025873 0.0003180 0.0000812 0.0000453 0.0000105 0.0000006 0.1762223 
  13:38:42.30  2.184040 10 3.837 7.243 3.379 6.882 6.105 1.948 3.288 6.487 4.637 2.391 2.815 4.888 5.686 2.822 0.715 0.638 1.823 3.562 4.207 3.925 3.347 2.917 2.735 2.714 2.740 -2.976 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 2.759 0.7152721 0.3754905 0.6106867 0.3401820 0.3187258 0.6154423 0.3691114 0.2286259 0.2805783 0.4361505 0.3585409 0.1640519 0.0698283 0.0238788 0.1114699 0.4052744 0.1320674 0.0186431 0.0034006 0.0007134 0.0001214 0.0000446 0.0000224 0.0000042 0.0000002 0.1972925 
